symbol,company_name
ADRO.JK,Adaro Energy Indonesia Tbk
AMMN.JK,PT Amman Mineral Internasional Tbk.
AALI.JK,Astra Agro Lestari Tbk
ASII.JK,Astra International Tbk
AVIA.JK,PT Avia Avian Tbk
BBCA.JK,PT Bank Central Asia Tbk.
BDMN.JK,PT Bank Danamon Indonesia Tbk
BMRI.JK,PT Bank Mandiri (Persero) Tbk
BBNI.JK,PT Bank Negara Indonesia (Persero) Tbk
BBRI.JK,PT Bank Rakyat Indonesia (Persero) Tbk
BRIS.JK,PT Bank Syariah Indonesia Tbk
BRPT.JK,Barito Pacific Tbk
BSDE.JK,PT Bumi Serpong Damai Tbk
CPIN.JK,Charoen Pokphand Indonesia Tbk
MTEL.JK,PT Dayamitra Telekomunikasi Tbk
EMTK.JK,Elang Mahkota Teknologi Tbk
GOTO.JK,PT GoTo Gojek Tokopedia Tbk
GGRM.JK,Gudang Garam Tbk
INKP.JK,Indah Kiat Pulp & Paper Tbk
INTP.JK,Indocement Tunggal Prakarsa Tbk
INDF.JK,Indofood Sukses Makmur Tbk
ISAT.JK,PT Indosat Tbk
JSMR.JK,PT Jasa Marga Tbk
KLBF.JK,Kalbe Farma Tbk
MYOR.JK,Mayora Indah Tbk
MDKA.JK,PT Merdeka Copper Gold Tbk.
PGAS.JK,PT Perusahaan Gas Negara Tbk.
CUAN.JK,PT Petrindo Jaya Kreasi Tbk
HMSP.JK,HM Sampoerna Tbk
ICBP.JK,Indofood CBP Sukses Makmur Tbk
TOWR.JK,Sarana Menara Nusantara Tbk
SMGR.JK,Semen Indonesia (Persero) Tbk
FREN.JK,PT Smartfren Telecom Tbk
AMRT.JK,PT Sumber Alfaria Trijaya Tbk.
PTBA.JK,Bukit Asam Tbk
TLKM.JK,PT Telkom Indonesia (Persero) Tbk
TBIG.JK,PT Tower Bersama Infrastructure Tbk
NCKL.JK,PT Trimegah Bangun Persada Tbk.
UNVR.JK,Unilever Indonesia Tbk
UNTR.JK,United Tractors Tbk
INCO.JK,Vale Indonesia Tbk
EXCL.JK,PT XL Axiata Tbk
