symbol,company_name
ADRO.JK,Alamtri Resources Indonesia Tbk
AKRA.JK,PT AKR Corporindo Tbk.
AMRT.JK,PT Sumber Alfaria Trijaya Tbk.
ANTM.JK,Aneka Tambang Tbk.
ASII.JK,Astra International Tbk
BBCA.JK,PT Bank Central Asia Tbk.
BBNI.JK,PT Bank Negara Indonesia (Persero) Tbk
BBRI.JK,PT Bank Rakyat Indonesia (Persero) Tbk
BMRI.JK,PT Bank Mandiri (Persero) Tbk
BRPT.JK,Barito Pacific Tbk
CPIN.JK,Charoen Pokphand Indonesia Tbk
EXCL.JK,PT XLSMART Telecom Sejahtera Tbk
GOTO.JK,PT GoTo Gojek Tokopedia Tbk
ICBP.JK,Indofood CBP Sukses Makmur Tbk
INCO.JK,Vale Indonesia Tbk
INDF.JK,Indofood Sukses Makmur Tbk
INKP.JK,Indah Kiat Pulp & Paper Tbk
ISAT.JK,PT Indosat Tbk
ITMG.JK,Indo Tambangraya Megah Tbk
JPFA.JK,JAPFA Comfeed Indonesia Tbk
KLBF.JK,Kalbe Farma Tbk
MBMA.JK,PT Merdeka Battery Materials Tbk
MDKA.JK,PT Merdeka Copper Gold Tbk.
MEDC.JK,PT Medco Energi Internasional Tbk
PGAS.JK,PT Perusahaan Gas Negara Tbk.
PTBA.JK,Bukit Asam Tbk
SMGR.JK,Semen Indonesia (Persero) Tbk
TLKM.JK,PT Telkom Indonesia (Persero) Tbk
UNTR.JK,United Tractors Tbk
UNVR.JK,Unilever Indonesia Tbk
