symbol,company_name
ADRO.JK,Adaro Energy Indonesia Tbk
AMRT.JK,PT Sumber Alfaria Trijaya Tbk.
ANTM.JK,Aneka Tambang Tbk.
ASII.JK,Astra International Tbk
BBCA.JK,PT Bank Central Asia Tbk.
BBNI.JK,PT Bank Negara Indonesia (Persero) Tbk
BBRI.JK,PT Bank Rakyat Indonesia (Persero) Tbk
BMRI.JK,PT Bank Mandiri (Persero) Tbk
BRPT.JK,Barito Pacific Tbk
ICBP.JK,Indofood CBP Sukses Makmur Tbk
INDF.JK,Indofood Sukses Makmur Tbk
INKP.JK,Indah Kiat Pulp & Paper Tbk
ITMG.JK,Indo Tambangraya Megah Tbk
KLBF.JK,Kalbe Farma Tbk
PTBA.JK,Bukit Asam Tbk
SMGR.JK,Semen Indonesia (Persero) Tbk
TLKM.JK,PT Telkom Indonesia (Persero) Tbk
TPIA.JK,PT Chandra Asri Pacific Tbk
UNTR.JK,United Tractors Tbk
UNVR.JK,Unilever Indonesia Tbk
