symbol,company_name
AADI.JK,PT Adaro Andalan Indonesia Tbk
ACES.JK,PT Aspirasi Hidup Indonesia Tbk
ADMR.JK,PT Alamtri Minerals Indonesia Tbk
AMRT.JK,PT Sumber Alfaria Trijaya Tbk.
ANTM.JK,Aneka Tambang Tbk.
ASII.JK,Astra International Tbk
BBCA.JK,PT Bank Central Asia Tbk.
BBNI.JK,PT Bank Negara Indonesia (Persero) Tbk
BBRI.JK,PT Bank Rakyat Indonesia (Persero) Tbk
BFIN.JK,BFI Finance Indonesia Tbk
BMRI.JK,PT Bank Mandiri (Persero) Tbk
CMRY.JK,PT Cisarua Mountain Dairy Tbk
CPIN.JK,Charoen Pokphand Indonesia Tbk
CTRA.JK,Ciputra Development Tbk
DSNG.JK,PT Dharma Satya Nusantara Tbk
JPFA.JK,JAPFA Comfeed Indonesia Tbk
KLBF.JK,Kalbe Farma Tbk
LSIP.JK,PP London Sumatra Indonesia Tbk
MAPA.JK,PT MAP Aktif Adiperkasa Tbk
MIKA.JK,PT Mitra Keluarga Karyasehat Tbk
MYOR.JK,Mayora Indah Tbk
NCKL.JK,PT Trimegah Bangun Persada Tbk
PGEO.JK,PT Pertamina Geothermal Energy Tbk
PTBA.JK,Bukit Asam Tbk
PWON.JK,Pakuwon Jati Tbk
SCMA.JK,Surya Citra Media Tbk
TAPG.JK,PT Triputra Agro Persada Tbk
TLKM.JK,PT Telkom Indonesia (Persero) Tbk
UNTR.JK,United Tractors Tbk
UNVR.JK,Unilever Indonesia Tbk
