symbol,company_name
AADI.JK,PT Adaro Andalan Indonesia Tbk
ADRO.JK,Alamtri Resources Indonesia Tbk
ASII.JK,Astra International Tbk
AUTO.JK,Astra Otoparts Tbk
BBNI.JK,PT Bank Negara Indonesia (Persero) Tbk
BBTN.JK,PT Bank Tabungan Negara (Persero) Tbk
BNGA.JK,PT Bank CIMB Niaga Tbk
BSDE.JK,PT Bumi Serpong Damai Tbk
CTRA.JK,Ciputra Development Tbk
DSNG.JK,PT Dharma Satya Nusantara Tbk
ELSA.JK,Elnusa Tbk
EMTK.JK,Elang Mahkota Teknologi Tbk
ENRG.JK,Energi Mega Persada Tbk
ERAA.JK,Erajaya Swasembada Tbk
HRUM.JK,Harum Energy Tbk
INDF.JK,Indofood Sukses Makmur Tbk
INKP.JK,Indah Kiat Pulp & Paper Tbk
ITMG.JK,Indo Tambangraya Megah Tbk
JSMR.JK,PT Jasa Marga Tbk
LSIP.JK,PP London Sumatra Indonesia Tbk
MEDC.JK,PT Medco Energi Internasional Tbk
MNCN.JK,Media Nusantara Citra Tbk
NCKL.JK,PT Trimegah Bangun Persada Tbk
PGAS.JK,PT Perusahaan Gas Negara Tbk
PNLF.JK,Panin Financial Tbk
PWON.JK,Pakuwon Jati Tbk
SMGR.JK,Semen Indonesia (Persero) Tbk
SMRA.JK,PT Summarecon Agung Tbk
TKIM.JK,Pabrik Kertas Tjiwi Kimia Tbk
UNTR.JK,United Tractors Tbk
