symbol,company_name
AALI.JK,Astra Agro Lestari Tbk
ADRO.JK,Alamtri Resources Indonesia Tbk
AMRT.JK,PT Sumber Alfaria Trijaya Tbk.
ARTO.JK,PT Bank Jago Tbk.
ASII.JK,Astra International Tbk
DSNG.JK,PT Dharma Satya Nusantara Tbk.
EMTK.JK,Elang Mahkota Teknologi Tbk
EXCL.JK,PT XLSMART Telecom Sejahtera Tbk
GJTL.JK,Gajah Tunggal Tbk
HRUM.JK,Harum Energy Tbk
ICBP.JK,Indofood CBP Sukses Makmur Tbk
INDF.JK,Indofood Sukses Makmur Tbk
INKP.JK,Indah Kiat Pulp & Paper Tbk
ISAT.JK,PT Indosat Tbk
ITMG.JK,Indo Tambangraya Megah Tbk
JPFA.JK,JAPFA Comfeed Indonesia Tbk
JSMR.JK,PT Jasa Marga Tbk
KLBF.JK,Kalbe Farma Tbk
LSIP.JK,PP London Sumatra Indonesia Tbk
MAPI.JK,Mitra Adiperkasa Tbk
MEDC.JK,PT Medco Energi Internasional Tbk
MIKA.JK,PT Mitra Keluarga Karyasehat Tbk.
NISP.JK,PT Bank OCBC NISP Tbk
PGAS.JK,PT Perusahaan Gas Negara Tbk.
PNLF.JK,Panin Financial Tbk
PTBA.JK,Bukit Asam Tbk
TOWR.JK,Sarana Menara Nusantara Tbk
UNTR.JK,United Tractors Tbk
