symbol,company_name
ACES.JK,PT Aspirasi Hidup Indonesia Tbk
ADMR.JK,PT Adaro Minerals Indonesia Tbk
ADRO.JK,Alamtri Resources Indonesia Tbk
AKRA.JK,PT AKR Corporindo Tbk.
AMMN.JK,PT Amman Mineral Internasional Tbk.
ANTM.JK,Aneka Tambang Tbk.
ASII.JK,Astra International Tbk
AUTO.JK,Astra Otoparts Tbk
AVIA.JK,PT Avia Avian Tbk
BRIS.JK,PT Bank Syariah Indonesia Tbk
BRMS.JK,Bumi Resources Minerals Tbk
BSDE.JK,PT Bumi Serpong Damai Tbk
BTPS.JK,PT Bank BTPN Syariah Tbk.
CMRY.JK,PT Cisarua Mountain Dairy Tbk
CPIN.JK,Charoen Pokphand Indonesia Tbk
CTRA.JK,Ciputra Development Tbk
DSNG.JK,PT Dharma Satya Nusantara Tbk.
ELSA.JK,Elnusa Tbk
EMTK.JK,Elang Mahkota Teknologi Tbk
ENRG.JK,Energi Mega Persada Tbk
ERAA.JK,Erajaya Swasembada Tbk
ESSA.JK,ESSA Industries Indonesia Tbk
EXCL.JK,PT XL Axiata Tbk
FILM.JK,PT MD Pictures Tbk.
GJTL.JK,Gajah Tunggal Tbk
HEAL.JK,PT Medikaloka Hermina Tbk.
HRUM.JK,Harum Energy Tbk
ICBP.JK,Indofood CBP Sukses Makmur Tbk
INCO.JK,Vale Indonesia Tbk
INDF.JK,Indofood Sukses Makmur Tbk
INDY.JK,Indika Energy Tbk
INKP.JK,Indah Kiat Pulp & Paper Tbk
INTP.JK,Indocement Tunggal Prakarsa Tbk
ISAT.JK,PT Indosat Tbk
ITMG.JK,Indo Tambangraya Megah Tbk
JPFA.JK,JAPFA Comfeed Indonesia Tbk
KLBF.JK,Kalbe Farma Tbk
MAPA.JK,PT MAP Aktif Adiperkasa Tbk.
MAPI.JK,Mitra Adiperkasa Tbk
MARK.JK,PT Mark Dynamics Indonesia Tbk.
MBMA.JK,PT Merdeka Battery Materials Tbk
MDKA.JK,PT Merdeka Copper Gold Tbk.
MEDC.JK,PT Medco Energi Internasional Tbk
MIKA.JK,PT Mitra Keluarga Karyasehat Tbk.
MNCN.JK,Media Nusantara Citra Tbk
MTEL.JK,PT Dayamitra Telekomunikasi Tbk
MYOR.JK,Mayora Indah Tbk
NCKL.JK,PT Trimegah Bangun Persada Tbk.
PANI.JK,PT Pantai Indah Kapuk Dua Tbk.
PGAS.JK,PT Perusahaan Gas Negara Tbk.
PGEO.JK,PT Pertamina Geothermal Energy Tbk
PTBA.JK,Bukit Asam Tbk
PTMP.JK,PT Mitra Pack Tbk.
PTPP.JK,PP (Persero) Tbk
PTRO.JK,Petrosea Tbk
PWON.JK,Pakuwon Jati Tbk
SIDO.JK,PT Industri Jamu Dan Farmasi Sido Muncul Tbk
SILO.JK,PT Siloam International Hospitals Tbk.
SMGR.JK,Semen Indonesia (Persero) Tbk
SMIL.JK,PT Sarana Mitra Luas Tbk
SMRA.JK,PT Summarecon Agung Tbk
SRTG.JK,PT Saratoga Investama Sedaya Tbk.
SSIA.JK,PT Surya Semesta Internusa Tbk
TINS.JK,PT Timah Tbk.
TKIM.JK,Pabrik Kertas Tjiwi Kimia Tbk
TLKM.JK,PT Telkom Indonesia (Persero) Tbk
TPIA.JK,PT Chandra Asri Pacific Tbk
UNTR.JK,United Tractors Tbk
UNVR.JK,Unilever Indonesia Tbk
WIFI.JK,PT Solusi Sinergi Digital Tbk
