symbol,company_name
ANTM.JK,Aneka Tambang Tbk.
ASII.JK,Astra International Tbk
AVIA.JK,PT Avia Avian Tbk
BBCA.JK,PT Bank Central Asia Tbk.
BBNI.JK,PT Bank Negara Indonesia (Persero) Tbk
BBRI.JK,PT Bank Rakyat Indonesia (Persero) Tbk
BBTN.JK,PT Bank Tabungan Negara (Persero) Tbk
BMRI.JK,PT Bank Mandiri (Persero) Tbk
DSNG.JK,PT Dharma Satya Nusantara Tbk
EMTK.JK,Elang Mahkota Teknologi Tbk
ICBP.JK,Indofood CBP Sukses Makmur Tbk
INDF.JK,Indofood Sukses Makmur Tbk
INTP.JK,Indocement Tunggal Prakarsa Tbk
JSMR.JK,PT Jasa Marga Tbk
KLBF.JK,Kalbe Farma Tbk
MTEL.JK,PT Dayamitra Telekomunikasi Tbk
PGAS.JK,PT Perusahaan Gas Negara Tbk
PGEO.JK,PT Pertamina Geothermal Energy Tbk
POWR.JK,PT Cikarang Listrindo Tbk
PWON.JK,Pakuwon Jati Tbk
SIDO.JK,PT Industri Jamu Dan Farmasi Sido Muncul Tbk
SMGR.JK,Semen Indonesia (Persero) Tbk
SSMS.JK,PT Sawit Sumbermas Sarana Tbk
UNTR.JK,United Tractors Tbk
UNVR.JK,Unilever Indonesia Tbk
